symbol,listing_date,listing_price,latest_date,latest_price,price_impact_pct,days_since_listing
MELANIA,2025-01-20,11.27200000,2026-01-28,0.16987000,-98.4930,373
ZEREBRO,2025-01-02,0.66468000,2026-01-28,0.01161700,-98.2522,391
TST,2025-02-09,0.42021000,2026-01-28,0.01423500,-96.6124,353
AI16Z,2025-01-01,1.65000000,2025-11-06,0.06157000,-96.2685,309
GRIFFAIN,2025-01-02,0.40692000,2026-01-28,0.01536800,-96.2233,391
BIO,2025-01-03,0.83043000,2026-01-28,0.04446100,-94.6460,390
BERA,2025-02-06,8.82170000,2026-01-28,0.62083000,-92.9625,356
FOGO,2025-12-11,0.61249000,2026-01-28,0.04414500,-92.7925,48
S,2025-01-16,0.80000000,2026-01-28,0.06776500,-91.5294,377
NIL,2025-03-24,0.81062000,2026-01-28,0.06875500,-91.5182,310
VINE,2025-01-23,0.28679000,2026-01-28,0.02671800,-90.6838,370
LINEA,2025-09-01,0.05960400,2026-01-28,0.00645000,-89.1786,149
ANIME,2025-01-21,0.06060000,2026-01-28,0.00682700,-88.7343,372
NXPC,2025-05-15,2.99520000,2026-01-28,0.37455000,-87.4950,258
INIT,2025-04-16,0.72800000,2026-01-28,0.09673200,-86.7126,287
LAYER,2025-02-11,0.96436000,2026-01-28,0.13960000,-85.5241,351
VVV,2025-01-28,21.44500000,2026-01-28,3.15540000,-85.2861,365
MET,2025-10-10,1.80000000,2026-01-28,0.27407000,-84.7739,110
APEX,2025-09-27,2.13790000,2026-01-28,0.35666000,-83.3173,123
2Z,2025-10-02,0.74524000,2026-01-28,0.12901000,-82.6888,118
SOPH,2025-05-28,0.06963200,2026-01-28,0.01260700,-81.8948,245
JELLY,2025-01-30,0.20721000,2025-03-26,0.03755500,-81.8759,55
MON,2025-10-08,0.11000000,2026-01-28,0.02174000,-80.2364,112
YZY,2025-08-21,1.59700000,2026-01-28,0.33935000,-78.7508,160
WCT,2025-04-15,0.33506000,2026-01-28,0.07644800,-77.1838,288
STBL,2025-09-17,0.18163000,2026-01-28,0.04192800,-76.9157,133
PAXG,2025-03-27,2988.00000000,2026-01-28,5280.10000000,76.7102,307
BABY,2025-04-05,0.07280000,2026-01-28,0.01794700,-75.3475,298
LAUNCHCOIN,2025-05-14,0.20555000,2025-10-25,0.06036700,-70.6315,164
XPL,2025-08-22,0.40400000,2026-01-28,0.14244000,-64.7426,159
SYRUP,2025-05-07,0.21800000,2026-01-28,0.35631000,63.4450,266
WLFI,2025-08-23,0.43500000,2026-01-28,0.16482000,-62.1103,158
KAITO,2025-02-20,1.11060000,2026-01-28,0.42185000,-62.0160,342
STABLE,2025-11-06,0.05800000,2026-01-28,0.02230100,-61.5500,83
PROMPT,2025-04-11,0.16360000,2026-01-28,0.06995900,-57.2378,292
LIT,2025-12-22,3.99550000,2026-01-28,1.87630000,-53.0397,37
HYPER,2025-04-22,0.26905000,2026-01-28,0.12926000,-51.9569,281
PROVE,2025-08-05,0.76000000,2026-01-28,0.37942000,-50.0763,176
DOOD,2025-05-09,0.01037300,2026-01-28,0.00520600,-49.8120,264
MEGA,2025-10-22,0.40000000,2026-01-28,0.20329000,-49.1775,98
TRUMP,2025-01-18,8.74940000,2026-01-28,4.80620000,-45.0682,375
RESOLV,2025-06-10,0.21334000,2026-01-28,0.11835000,-44.5252,232
ZORA,2025-04-23,0.02190900,2026-01-28,0.03109000,41.9052,280
AVNT,2025-09-09,0.24510000,2026-01-28,0.33206000,35.4794,141
PUMP,2025-07-10,0.00495200,2026-01-28,0.00321300,-35.1171,202
HEMI,2025-08-29,0.02200000,2026-01-28,0.01488200,-32.3545,152
0G,2025-09-17,1.10000000,2026-01-28,0.83693000,-23.9155,133
IP,2025-02-13,2.57930000,2026-01-28,2.12170000,-17.7412,349
CC,2025-10-31,0.14992000,2026-01-28,0.17083000,13.9474,89
ASTER,2025-09-19,0.61000000,2026-01-28,0.68323000,12.0049,131
SKY,2025-09-09,0.07254000,2026-01-28,0.06567200,-9.4679,141
