days_since_listing,median,p25,p75,count
0,-5.7675,-18.8863,6.4349,51
1,-0.3309,-20.3430,23.6502,51
2,-8.5867,-27.8580,25.8923,51
3,-10.6552,-29.0562,24.5282,51
4,-13.6724,-33.3645,22.6541,51
5,-14.0533,-32.4293,24.0676,51
6,-4.0601,-34.9874,28.3699,51
7,-16.4385,-40.5258,31.4841,51
8,-24.9701,-43.1134,27.8040,51
9,-22.5020,-44.8180,29.8555,51
10,-28.2930,-47.9686,25.9471,51
11,-29.3542,-48.2333,22.9168,51
12,-29.4308,-47.8114,20.7480,51
13,-29.0690,-51.4846,32.1656,51
14,-27.0293,-53.5680,21.6757,51
15,-29.4163,-56.3955,18.4254,51
16,-35.1519,-56.0317,18.8672,51
17,-36.5593,-55.3221,24.7975,51
18,-36.3640,-56.9218,21.8554,51
19,-34.7259,-54.8618,23.5541,51
20,-37.6175,-54.2882,23.6170,51
21,-39.0061,-57.9497,17.5166,51
22,-42.4669,-57.3532,14.6778,51
23,-45.2534,-57.2055,18.1174,51
24,-47.0210,-58.1303,22.5523,51
25,-45.4725,-58.6324,28.5152,51
26,-43.3137,-59.9412,21.8848,51
27,-42.2152,-62.5171,17.7511,51
28,-43.4859,-61.9547,17.5973,51
29,-43.3098,-61.6434,18.5676,51
30,-43.6924,-62.1226,17.0941,51
31,-43.3245,-67.0050,13.6958,51
32,-43.2087,-66.4675,18.7067,51
33,-47.3607,-70.6465,21.2328,51
34,-51.1411,-71.5223,15.5876,51
35,-50.5169,-74.3662,15.2505,51
36,-49.0346,-73.4838,15.3017,51
37,-53.0121,-73.4690,18.0211,51
38,-51.4623,-73.4720,23.3750,50
39,-52.5586,-73.3296,24.6432,50
40,-49.2653,-73.6746,17.9772,50
41,-47.9181,-72.3210,16.6759,50
42,-48.5318,-72.8361,17.1010,50
43,-52.0261,-73.4373,15.8625,50
44,-52.8979,-73.2329,8.2952,50
45,-47.3820,-74.1176,7.1705,50
46,-49.1275,-76.4103,7.2016,50
47,-48.4965,-78.2594,10.2644,50
48,-48.3739,-79.0824,6.4429,50
49,-44.1249,-77.7017,4.7632,49
50,-40.0876,-77.4607,-2.1089,49
51,-47.5943,-75.0699,0.4455,49
52,-50.7382,-75.9086,8.7684,49
53,-48.8367,-76.7983,8.3956,49
54,-45.5597,-75.0988,5.2541,49
55,-42.6083,-75.2627,1.9739,49
56,-39.7934,-74.9070,-5.7094,48
57,-40.0586,-74.9656,0.5553,48
58,-41.3635,-75.3073,1.4760,48
59,-43.7824,-75.4916,-0.3504,48
60,-44.8171,-75.1099,-1.5420,48
61,-45.1633,-74.6770,-2.1814,48
62,-45.6212,-75.2775,6.1548,48
63,-46.2896,-75.2475,-0.1428,48
64,-43.4256,-75.4268,1.1912,48
65,-46.9539,-76.0774,0.2017,48
66,-46.1566,-76.1317,-5.6477,48
67,-47.3276,-76.3024,-6.6561,48
68,-46.5789,-76.4694,-8.4842,48
69,-49.5028,-76.6516,-8.0575,48
70,-52.3370,-77.0105,-12.9667,48
71,-52.6138,-77.2312,-12.1214,48
72,-53.3207,-76.8022,-9.4145,48
73,-54.8808,-76.6711,-4.3789,48
74,-52.3105,-77.2117,-4.1465,48
75,-53.5625,-78.2513,-7.1535,48
76,-55.6259,-78.6018,-3.2800,48
77,-53.2767,-78.9585,-6.6025,48
78,-53.5541,-77.0343,-8.1728,48
79,-51.3964,-78.5914,-4.6211,48
80,-53.0784,-79.1001,-9.6382,48
81,-51.0611,-80.0772,-9.5597,48
82,-50.0130,-80.7044,-7.5754,48
83,-52.4853,-79.6900,-6.7705,48
84,-49.5783,-79.9970,-5.2161,47
85,-45.5338,-79.7796,-5.6741,47
86,-48.9570,-78.3561,-10.2365,47
87,-44.2969,-77.5459,-7.4862,47
88,-43.9875,-77.7523,-4.3551,47
89,-47.5250,-77.7145,2.5358,47
90,-54.4660,-77.5105,-5.3479,46
91,-55.6135,-77.1515,-4.4041,46
92,-53.4526,-79.6908,-12.2386,46
93,-51.5532,-77.1446,-9.7047,46
94,-50.8455,-77.8398,-0.0395,46
95,-53.8171,-78.6249,-0.3068,46
96,-53.3917,-78.9961,-1.5812,46
97,-53.3213,-78.6887,-7.1447,46
98,-53.3326,-79.1598,-12.6728,46
99,-58.4171,-79.8709,-6.1186,45
100,-57.8743,-79.7373,-6.4749,45
101,-57.9604,-79.8973,-3.4474,45
102,-57.0183,-80.2145,-3.3191,45
103,-54.9115,-80.9312,-8.9364,45
104,-53.6822,-80.8785,-8.0962,45
105,-57.0792,-80.4495,-11.1500,45
106,-56.1832,-81.1469,-6.5881,45
107,-59.1733,-81.5403,-8.3776,45
108,-59.3168,-80.9860,-11.9889,45
109,-55.9554,-81.5141,-14.0781,45
110,-57.9109,-82.2733,-11.4397,45
111,-57.4661,-79.9886,-10.5076,44
112,-57.6221,-80.4658,-12.5151,44
113,-53.3778,-79.8645,-14.4625,43
114,-55.8824,-79.7072,-11.3141,43
115,-55.6282,-80.0726,-12.4917,43
116,-55.1873,-79.9488,-16.2133,43
